id,question,level,,,,
519," Critique the other student's (or your own) speech, based on the criteria we have studied this semester",6,,,,
520, Decide whether you are in favor of building on a floodplain; defend your position in a debate,6,,,,
521, Decide whether you could have survived on the island blind and alone,6, ,,,
522, Decide whether you learned enough about electricity from this book,6,,,,
523, Decide which candidate would best fill the position of principal,6,,,,
524, Decide which course of action was most effective,6,,,,
525, Decide which method of solving a problem was most effective,6,,,,
526, Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience,6,,,,
527, Defend your use of a specific strategy in solving the problem,6, ,,,
528, Describe the economic consequence of a neolocal society,6,,,,
529, Design a healthy menu that you think most people would enjoy using the healthy eating guide,6,,,,
530, Determine if a character's actions were heroic,6,,,,
531, Do you agree,6,,,,
532, Do you think ,6,,,,
533, Establish criteria for making this choice and defend your final selection,6,,,,
534," Evaluate a work of art, giving the reasons for your evaluation",6,,,,
535, Evaluate appropriate and inappropriate actions of characters,6,,,,
536, Evaluate board games and justify why rules are important,6,,,,
537, Evaluate the corrosion monitoring needs of a chemical processing plant,6,,,,
538, Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),6,,,,
539, Evaluate two Internet sources of information about the Egyptians,6,,,,
540, Evaluate whether their model is a true representation of the local environment,6,,,,
541, Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester,6,,,,
542, Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's,6,,,,
543, Explain and justify a new budget,6,,,,
544, Explain choices made in making recommendations to an end user,6,,,,
545," Given an argument on any position, enumerate the logical fallacies in that argument",6,,,,
546," Given the data available on a research question, take a position and defend it",6,,,,
547," Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer",6,,,,
548," Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability",6, ,,,
549," Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach",6,,,,
550," Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution",6, ,,,
551, How effective are ,6, ,,,
552, How would you decide about,6,,,,
553, How would you feel if ,6,,,,
554, How would you have handled ,6,,,,
555," improved, reformed or rejected?",6,,,,
556," In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects",6,,,,
557, Is there a better solution to ,6,,,,
558, Judge aesthetic qualities and relationship to future values,6,,,,
559, judge the difficulty level for yourself,6,,,,
560, Judge the value of ,6,,,,
561, Judge whether it would be possible to survive on an island alone and blinded,6,,,,
562, Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete,6,,,,
563, Justify and nominate ways to prevent animal extinction,6,,,,
564, Justify the title To Kill a Mockingbird ,6,,,,
565, Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester,6,,,,
566, Place the following in order of priority,6,,,,
567, Predict what will happen next in,6,,,,
568, Predict whether Phillip will ever go back to visit the Cay after several years of recovery,6,,,,
569, Recommend how our classroom or playground could be improved,6,,,,
570, Select the best proposal for a proposed water treatment plant,6,,,,
571, Select the most effective solution,6,,,,
572, suggest ways in which it could have responded more effectively,6,,,,
573, decide about the most exciting part of the book,6,,,,
574, Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations',6,,,,
575," Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger",6,,,,
576," Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment",6,,,,
577, Was Hemingway a great American writer? First you will need to define greatness,6,,,,
578, What changes to ,6,,,,
579, What criteria would you use to assess the validity of a business contract?,6,,,,
580, What criteria would you use to assess,6,,,,
581, What do you think about ,6,,,,
582, What is part of this book did you like best,6, ,,,
583, What is the most important,6,,,,
584, Which of the following actions would probably be least effective in determining the answer?,6,,,,
585," Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer",6,,,,
586, Would you have liked to have had Cinderella for a sister? Explain why or why not,6,,,,
587, Write a list of criteria to judge the Willy raps,6,,,,
588, Revise the story and specify the type of audience that would enjoy this book,6,,,,
589,  Estimate the epicentral coordinates of the earth-quake,6, ,,,
590,  Estimate the risk of serious illness for consumers in different susceptible population groups,6,,,,
591, Estimate expenditure on HIV/AIDS education,6,,,,
592, Estimate the difficulty of the question,6,,,,
593, Estimate roughly how long the collision process takes,6,,,,
594, What do you think is the best thing about coming to Viestal?,6,,,,
595, What do you think is the mass and why,6,,,,
596, What do you think are the strengths of using integrated math in your program?,6,,,,
597, Do you think that this statement conveys the idea that i am trying to portray,6,,,,
598, How do you think the community should grow or change,6,,,,
599, How Do You Think One Should Reason in Making Ethical Decisions in Business,6,,,,
