id,question,level
737,Identify and demonstrate the dynamic nature of the environment in which marketing decisions are taken and appreciate the implications of marketing strategy determination and implementation.,2
738,"Apply the introduced conceptual frameworks, theory and techniques to various marketing contexts",3
739,"Work in a manner consistent with law, professional standards and protocols as related to marketing, advertising, promotion and ethical considerations",4
740,Identify and integrate appropriate technologies in developing solutions to business opportunities and challenges,5
741,Reiterate the laws of management in Strategic issues for competitiveness in marketing,6
742,Demonstrate the working of standard digital IC s and their basic building blocks,1
743,Distinguish between asynchronous  and synchronous counters,6
744,Design and implement adder and subtractor circuits,2
745,Evaluate the use of multiplexers and demultiplexers,3
746,Formulate various flipflops using logic gates,4
747,Design and implement shift registers,5
748,Determine physical and index properties of soil and classify soils based on standard  geotechnical engineering practice,1
749,Recognize the IS laboratory test procedures used for determination of index and engineering properties of soils,2
750,Estimate and predict the stress-strain behavior of soils subjected to different states of saturation,3
751,Interpret the shear strength parameters of soil and utilize them for tackling real life problems encountered at site.,4
752,Demonstrate the compressional properties of soils under static and dynamic loading conditions.,5
753,"Define, represent, classify and   characterize basic properties of continuous and discrete time signals and systems.",1
754,Illustrate various Time domain Represenations of Linear Time Invariant systems,2
755,Represent the CT signals in Fourier series and interpret  the properties of  Fourier transform and  Laplace transform,3
756,Illustrate the concept of transfer function and determine the magnitude and phase response of LTI systems,4
757,Apply the concept of sampling theorem and techniques for sampling and reconstruction,5
758,Represent the DT signals in Fourier series and interpret  the properties of  Fourier transform and  Z transform,6
759,Select and use appropriate data structures for problem sorting and searching,6
760,Learn basic fundamentals of cryptography,1
761,Understand the Modern Symmetric Encryption algorithms,2
762,Analyze and use methods for public key cryptography,3
763,Achieve integrity through the usage HASH and MAC,4
764,Apply different application level security protocols,5
765,Evaluate the computer graphics display techniques and categorize graphic software systems.,1
766,Analyse the basic primitive drawing algorithms along with 2 D transformation concepts to display the objects,2
767,Derive the projection transformations and explain the 3D object representation models.,3
768,Demonstrate the 3D transformation concepts to model an object.,4
769,Evaluate different detection methods,5
770,Analyze the basic types and functionalities of OS and its working.,1
771,Analyze the concept of process and its scheduling.,2
772,"Explain process synchronization, deadlock detection and prevention methods.",3
773,Relate the mechanisms involved in memory management in contemporary OS,4
774,Interpret the concepts and implementation of virtual memory and disk management.,5
775,Interpret the mechanisms adopted for file sharing in distributed applications.,6
776,Analyze Network security threats and countermeasures,1
777,Evaluate various kinds of Encryption standards,2
778,Compare different algorithms used in Network Security,3
779,Interpret advanced security issues and technologies,4
780,Analyze various hardware solutions for network security,5
781,"Practice Androids APIs for data storage, retrieval, user preferences, files",3
782,"Use Androids APIs for databases, and content providers.",4
783,"Exmaine the power of background services, threads, and notifications",5
784,"Determine the particle size distribution, mean particle diameter, specific surface area and number of particles per unit mass using techniques such as sieve analysis, pipette analysis and beaker decantation",1
785,Plan and perform experiments using size reduction equipment and estimate the energy requirements for a specified reduction in size of a given material,2
786,Find out the area of a thickener by conducting batch sedimentation experiment,3
787,Plan and perform experiments using equipment used in industrial operations such as rotary drum filter and leaf filter,4
788,Learn the mechanism of solid separation from gas-solid mixture,5
789,Illustrate the concept of drag force and fluid flow around a solid body,2
790,Compare various cycles involved in different thermodynamic processes,1
791,Analyze the working of various energy conversion devices,2
792,Apply basic thermodynamic principles to refrigeration and air conditioning systems,3
793,Discuss different parts of an automobile and related power transmission devices,4
794,Demonstrate working knowledge on manufacturing processes and machining operations,5
795,Describe the relation between human brains and simple artificial neural network models.,1
796,Interpret the principles of operation of Non Destructive Testing equipment.,1
797,Select the most appropriate Non Destructive Testing method according to the application.,2
798,Develop computational techniques for interpretation of the sensors for Non Destructive Testing applications.,3
799,Evaluate the reliability of a part or a component by conducting Non Destructive Testing,4
800,Formulate reports after the conduct of different Non Destructive Testing techniques.,5
801,Compare and contrast the most common architectures and learning algorithms and identify the main implementation issues for common neural network systems.,2
802,"Design single and multi-layer feed-forward neural networks and apply it to real classification,clustering and regression problems.",3
803,Identify algorithms and applications for Radial-basis function networks and Stochastic networks.,4
804,Demonstrate different components of a diversion headwork and the design theories associated with them.,1
805,Develop and train  Competitive Networks and Pattern Association networks.,5
806,Describe the design theories for irrigation canal.,2
807,Identify and apply various Linux commands,1
808,Develop shell scripts and GUI for specific requirements,2
809,"Design minor irrigation structures such as regulators, cross drainage works and canal falls.",3
810,Apply tools like GIT for version control,3
811,"Perform basic level application deployment, kernel configuration and installation, packet management and installation etc.",4
812,Design Engineering applications that can learn using neural networks.,6
813,"Illustrate the principles of design of gravity, arch and earth dams",4
814,"Identify and explain various components of dams like galleries, spillways, etc.",5
815,Identify different components in web technology .,1
816,Design interactive web pages using HTML/XHTML.,2
817,Organise a professional document using  cascading style Sheets.,3
818,Construct websites for user interactions using JavaScript and JQuery.,4
819,Analyse the different information interchange formats like XML and JSON.,5
820,Develop web application using PHP.,6
821,Design and understand software architecture for software systems,1
822,"Recognise major software architectural styles, design patterns, and frameworks",2
823,Understand the formal definition of a number of architectures and be able to reason precisely about the properties of those architectures,3
824,Describe a software architecture using various documentation approaches and architectural description languages.,4
825,Analyze the architectural alternatives and connectors for a problem and select among them.,5
826,"Identify the fundamental security features, attacks and cryptographic techniques in Computing.",1
827,Apply modular arithmetic and basic cryptographic algorithms related to encryption techniques.,2
828,"Acquire  knowledge  on  standard  schemes  used  to  provide  confidentiality,  integrity and authenticity.",3
829,Make assessment on  how  to deploy  encryption  techniques  to  secure  data  in  transit  across  data networks.,4
830,"Identify and classify system security threats and develop a security model to prevent, detect and recover from attacks.",5
831,"Demonstrate the fundamentals of power system, stability and controls",1
832,To develop comprehensive solution to issues identified and to meet the requirements as stated in project brief,
833,Illustrate the Modelling concepts for different Power System Components and its selection bsed on applications,2
834,Apply Small Signal stability Analysis methods for different power systems and its applications,3
835,Apply Small Signal stability Analysis methods for different power systems and its applications,4
836,Carry out analysis of Voltage Stability for different power system configuration,5
837,Identify different techniques used for power system Stability Enhancement,6
838,"To document and present work with strict requirements on structure, format, and language usage",2
839,Design and analyse the basic firing schemes used in power electronics,1
840,Describe the operation of different single phase converters and controllers,2
841,Describe the operation of different three phase converters and controllers,3
842,Analyse the performance of different commutations techniques used for choppers,4
843,Demonstrate the operation of Series Loaded Resonant Converter (SLR),5
844,Review PC/DSP/MC based control of DC-DC Converters,6
845,Solve practical problems related to conduction of heat in solids and thermal insulation thickness for materials.,1
846,Analyze importance of boundary layers and demonstrate the effects of laminar and turbulent flows.,2
847,Design fins to achieve optimum heat transfer from surfaces.,3
848,Design heat exchangers for necessary flow rates and rate of heat transfer.,4
849,Illustrate heat transfer by radiation and solve practical problems in radiative heat transfer.,5
850,Identify and explain mechanisms of mass transfer and compare it with heat transfer.,6
851,Describe the scope and importance of E-commerce,1
852,Distinguish infrastructures for E Commerce,2
853,Identify web based tools for E commerce,3
854,Discuss security threads and security measures on web,4
855,Compare and discriminate various electronic payment systems,5
856,Identify different materials and the relevant testing equipments,2
857,Communicate with clarity and focus,1
858,Creates effective job applications and reports,2
859,Demonstrate interview and group discussion skills effectively,3
860,Use critical thinking and problem solving skills,4
861,Interpret and analyse various random processes in Communication Systems,1
862,Compare the performances of various Digital Pulse Modulation Schemes,6
863,Demonstrate professional ethics and human values,5
864,Identify the value of team dynamics and develops effective leadership qualities,6
865,Apply the knowledge of ISI to reduce its impact in Communication System design,2
866,Apply self Ethical beliefs towards the area of involvement,2
867,Construct signal space representation of waveforms,3
868,Demonstrate awareness related to environmental issues involved in the development of non-conventional hydrocarbon resources,6
869,Outline the technologies that are used to harness power from renewable energy,1
870,Demonstrate knowledge and understanding of performance of photovoltaic systems,2
871,"Compare the error probability for different digital modulation schemes like BPSK, BFSK, QPSK etc.",4
872,Examine electrochemical routes to energy conversion,3
873,"Compare and contrast stand alone, grid connected and hybrid energy systems",4
874,Describe the principle of spread spectrum communication and to illustrate the concept of FHSS and DSSS and understand the various Diversity Techniques,5
875,Judge the challenges and opportunities for distributed generation in both large interconnected grid and low voltage networks,5
876,"Outline the aerodynamics of wind turbines, calculate their power, energy production and effect of blade design",1
877,Apply the guiding precepts of Energy Systems / Power Electronics and Power System,1
878,Solve real-life problems related to industry and identify topical research areas,2
879,Apply relevant theoretical and practical tools for problem solution,3
880,Develop good work practices for the satisfactory completion of the project,4
881,Prepare technical papers for publication in journals or conferences to enrich the research findings,5
882,Describe the role of power electronic converters in the context of wind based generation,2
883,Identify and assess the main problems of wind power grid integration and arrive at contemporary solutions based on current research and operational experience,3
884,"Design and analyze variable voltage, variable frequency generation",4
885,Summarize major components of a hybrid renewable energy system and explain the functions of each major component,5
886,Describe the concepts pertaining to non-conventional petroleum resources,1
887,Apply the concepts related to exploration and development of Shale Gas Reservoirs,2
888,Apply the concepts related to exploration and development of Coal Bed Methane,3
889,Demonstrate awareness related to the concepts related to formation of gas hydrates,4
890,Apply the concepts related to different conversion processes for the production of hydrocarbons,5
891,Acquire fundamental understanding  of Ethics in Engineering,1
892,"Exhibit more responsibility towards society, environment and to the   involved area and uplift  the country without seeking personal benefits",3
893,Awareness about rights and duties in the involved stream,4
894,"Identify and classify threats and security issues to the environment, organisation and to the country",5
895,Explain machining principles and processes in the manufacturing of precision and complex components or products that use conventional and non-conventional technologies.,1
896,Demonstrate how PLCâ€™s operate and explain how they control automated equipment and systems.,2
897,"Demonstrate the functioning of DDA integrator, NC and CNC coordinate systems, axes, languages and programming.",3
898,Demonstrate tool path simulations with CNC powered equipment.,4
899,Illustrate  NC and CNC programming,5
900,Obtain a basic understanding of how to measure and calculate salient radiation properties and data to solve solar thermal energy design problems,1
901,Summarize various network services and layered architecture in networks,1
902,"Recognize and interpret different  networks-LAN,MAN,WAN",2
903,Applying the different routing methods in different networks,3
904,Define and identify ATM networks and internetworking with ATM,4
905,"Describe basic concepts and algorithms of cryptography to develop a security model to prevent, detect and recover from attacks.",5
906,A basic fundamental of CAD/Cam is acquired.,1
907,"Ability to use solar energy to meet various energy needs particularly to buildings for space heating and cooling, hot water, refrigeration and desalination",5
908,Understand the design and economics of solar thermal power plants,4
909,Analyse the performance of a liquid flat plate solar collector and understand the standard testing procedures for solar collectors.,2
910,Understand the transformations and definitions,2
911,Illustrate the Geometric   modelling and representations,3
912,"Discuss the types and representation of surfaces, solids",4
913,Understand the CNC part programming,5
914,Knowledge of automated processes in a modern manufacturing environment is obtained,6
915,Select and design single and multiple effect evaporators used in industries,1
916,Design cooling towers for process industries,2
917,Select and design distillation columns for refinery and other process industries,3
918,Design absorption and stripping columns for process industries,4
919,Design suitable extraction columns for industrial applications,5
920,Select and design suitable drying equipment for process and allied industries,6
921,Analyse different construction materials judiciously and design construction of masonry and concrete buildings and its components economically,1
922,Identify  the properties of concrete and to formulate concrete mix design,2
923,Recognize necessary details regarding the construction of building components,3
924,"Analyse and apply learning of materials, structures, servicing and construction of masonry domestic buildings",4
925,Define and describe the concepts and design criteria of tall framed and load bearing buildings,5
926,Analyse the reasons for failure of civil engineering structures and suggest solutions,6
927,Familiarize different types of concentrating collectors and their mounting methods.,3
928,Apply solar thermal principles to applications such as solar drying and solar pond.,6
929,Explain the process of distillation,1
930,Apply the fundamentals of assembly level programming of microprocessors and microcontrollers,1
931,Describe steam turbine power plants and their accessories,1
932,Solve problems in thermal power plants working on Rankine and Brayton Cycles,2
933,Design fractionation columns by McCabe-Thiele method,2
934,Design distillation tower by Ponchon-Savarit method,3
935,Design extraction equipments,4
936,Explain air standard cycles which governs the working of different classification of IC engines,3
937,Design leaching equipments,5
938,Measure and analyse the performance characteristics of IC engines,4
939,Discuss various stages of combustion in IC engines and their effects,5
940,Demonstrate the importance of Civil Engineering in the infrastructural development of the society,1
941,Analyse different structures and their codal provisions.,2
942,"Identify the types, uses and properties of various building materials",3
943,Identify the different components of a building and type of construction to be employed.,4
944,Comprehend the concept of surveying,5
945,"Identify gyroscopic action on vehicles, airplanes and ships, so as to conclude about stability of the same while they are taking a turn.",4
946,Interpret and solve the problems related to vibration of machineries in industries after evaluating the causes of vibrations and resonance.,5
947,Identify mathematical model for solution of common engineering problems.,1
948,Formulate simple problems into finite elements,2
949,"Solve structural, thermal, fluid flow problems.",3
950,Apply weighted residual techniques for formilulating the FEA  equations,4
951,"Use professional-level finite element software to solve engineering problems in Solid mechanics, fluid mechanics and heat transfer",5
952,Differentiate between object oriented programming and procedural oriented languages and data types in C++.,1
953,"Develop programs using C++ features such as composition of objects, Operator overloading, inheritance, Polymorphism etc.",2
954,"Demonstrate advanced features of C++, specifically stream I/O , virtual functions and templates",3
955,Implement features of object oriented programming to solve real world problems.,4
956,"Demonstrate advanced concepts of C++ like pointers, array of pointers and exception",5
957,Upgrade existing procedure oriented software to object oriented based ones,6
958,Students should be able to gain a fundamental understanding of light wave communication,1
959,Students will be able to analyze the transmission characteristics of light wave through optical fiber and how it is manipulated for berrtr communication,2
960,Students will be able to get an understanding of basic principle s of optical sources and sensors used in OFC,3
961,Students will be able to get an understanding of dfferent type  optical amplifiers and modulation techniques,4
962,Students can learn optical network  & new technology that are currently used and their future development,5
963,Explain the need and relevance of industrial safety in different fields of engineering.,1
964,Identify various hazards based on their nature and severity.,2
965,"Identify the relevance of maintaining safety, occupational health and hygiene in an industry",3
966,Evaluate the factors that may lead to an accident,4
967,Recognize the safety equipment to be used for prevention of various hazards,5
968,apply listening strategies to locate specific details and main points,1
969,compare and contrast ideas in a reading passage,2
970,prepare formal letters,3
971,deliver points effectively in a formal and informal group,4
972,Describe various traffic management and regulation measures including the use of ITS,1
973,Identify an appropriate turbine for any application and estimate its efficiency under different loads and speed conditions.,5
974,"1.	Provide valuable insights into road safety, driver abilities, and limitations which need consideration in highway design and traffic engineering.",1
975,"2.	Design a highway allowing for different terrains, horizontal and vertical curves, maintaining the geometric standards specified by Indian Roads Congress",2
976,"3.	Deal with traffic related issues including safety, planning, design, operation and control",3
977,"4.	Assess alternative pavement designs and choose appropriate methods for their maintenance",4
978,"5.	Improve operational efficiency and flexibility of airports and design various components of airports and air traffic aids.",5
979,prepare presentations effectively,5
980,use standard vocabulary and grammar,6
981,Analyze various fading and diversity techniques,1
982,Comprehend the basics of cellular communication,2
983,"Analyse the spread spectrum, CDMA, UMTS and UTRAN",3
984,Identify the real world electrical problems of socio-ecconomic relevance,1
985,"Analyze the HSUPA,HSDPA and CDMA 2000 technologies",4
986,"Analyze, design and implement solution methodologies",2
987,Develop critical-thinking and analytical decision-making capabilities to investigate complex engineering problems to propose project-based solutions,3
988,Apply modern software and hardware engineering tools for solution,4
989,Present the actual model to real world to suit customer requirements and internal/external goals,5
990,Write technical reports following professional ethics,6
991,Analyze the chemical synthesis and characterization of solid fuels with reference to physical and chemical properties.,1
992,Explain the production of petroleum products and their classification and use,2
993,Understand the production of various gaseous fuels and their usage and safety precautions.,3
994,"Analyze the mechanism of combustion processes, techniques and related various fuels",4
995,"Illustrate the production, composition, properties, testing and applications of refractories.",5
996,"Get the combined knowledge of inorganic chemistry, physical chemistry, chemical kinetics, transport phenomena, and interfacial engineering",6
997,Determine the capacity and level of service of highways,2
998,Design various types of road intersections and traffic signals,3
999,Identify the causes of road accidents and analyze accident data,4
1000,Illustrate theory of traffic flow and interpret various concepts of traffic flow theory,5
1001,Understand the  fundamental mechanism of Corrosion and classify types of corrosion,1
1002,Understand the origin of the difference in electrical potential across   metal/electrolyte interface,2
1003,Design materialâ€™s composition and characterize microstructure on its  corrosion performance,3
1004,Estimate the effect of an electrolyteâ€™s composition on the corrosion of metals,4
1005,Identify materials that will exhibit adequate corrosion resistance in a particular environment,5
1006,Propose economically viable remedial actions that will eliminate or reduce  corrosion to a tolerable level,6
1007,Identify the significance of computer vision and describe the various applications of computer vison in real world.,1
1008,Recognize and apply the details of multiple images and its geometry in computer vision,2
1009,Compare and evaluate high level and model-based vision methods,3
1010,Explain and compare a variety of pattern classification and pattern classifier combination techniques,4
1011,Demonstrate and apply both supervised and unsupervised classification methods to detect and characterize patterns in real-world data,5
1012,"Analyze, and relate different advancements in pattern recognition",6
1013,"Identify and describe transport mechanisms for heat, mass and momentum, developing & solving models, appropriately simplified, which address transport phenomena and conservation laws, of physical transport problems (including with 1-D fluid flow)",1
1014,Understand how transport concepts and equations are used in the modeling of metallurgical processes,2
1015,Demonstrate the phenomenon of phase change and how this affects transport problems,3
1016,Obtain the ability to convert actual (descriptive) processes into appropriate equations and then attempt to solve the same,4
1017,Demonstrate simple cases of heat transfer including radiation and fluid flow,5
1018,Identify the basic structure and functional units of a computer and analyze the effect of addressing modes on the execution time of a program,1
1019,Identify the roles of various functional units of a computer in instruction execution and apply different algorithms for arithmetic operations,2
1020,Select suitable interfacing standards to transfer data to/from  I/O devices,3
1021,Classify among the different memory systems available,4
1022,Design processing unit using the concepts of ALU design.,5
1023,Compare different control organizations available to generate control signals,6
1024,"To provide an introduction to Operations Management and exposure to forecasting methods, namely qualitative & quantitative methods.",1
1025,Impart knowledge on the Aggregate Planning and Materials Requirement Planning.,2
1026,Understand the Scheduling and Sequencing. Principles/methods.,3
1027,Understand the Maintenance Planning and Control and the reliability improvement methods.,4
1028,"Impart knowledge on the Modern concepts, techniques in operations management and Supply Chain management.",5
1029,Describe the modern technologies used for vehicle performance based on various parameters,1
1030,"Describe fundamentals of C programming such as variables, methods, conditional and iterative execution",1
1031,Categorize the various testing methods used for testing a vehicle based on the requirement of data,2
1032,Analyze and solve programming problems using a procedural and algorithmic approach with functional decomposition,2
1033,Design programs that demonstrate effective use of advanced C features including pointers and memory management,3
1034,Analyze various Vehicle Performance Characteristics,3
1035,Demonstrate different analysis methods for checking the vehicle performance parameters,4
1036,Develop and execute computerized solution for various problems in functions using appropriate C language constructs,4
1037,Identify various performance analysis parameters required for research in industries,5
1038,Identify sorting and searching techniques to solve application programs,5
1039,Identify and Implement file operations for a given application,6
1040,Analyze the fitness of commercial as well as passenger vehicles,6
1041,Explain OFDMâ€™s transceiver architecture.,1
1042,Interpret how the OFDM receiver performs synchronization and the adverse effects of missychronization.,2
1043,Discuss the problem of PAPR and how to reduce the PAPR.,3
1044,Summarize the concept and methods of diversity reception.,4
1045,Summarize MIMO channel models and space-time coding.,5
1046,Model power system using per unit impedance diagram representation,1
1047,Analyse steady state operation of power systems with understanding of load dispatch priciples and load frequency control,2
1048,Infer steady state and dynamic response of power system control,3
1049,Design a new system based on the knowledge of load flow techniques and fault studies,4
1050,Solve stability issues of power systems,5
1051,Discuss the foundations of computer graphics,1
1052,"Use the underlying algorithms, and mathematical concepts supporting computer graphics",2
1053,Illustrate clipping and view-ports object representation in relation to images displayed on screen,3
1054,Design and implement models and viewing transformations,4
1055,Develop skill to generate computer graphics animation software.,5
1056,Explain how computer and CAD software are being used in mechanical component design.,1
1057,Describe the applications of Computer Aided Design and various graphics images can be created on the computer and its representation standards.,2
1058,Identify the algorithms behind CAD package and drawing of spline curves.,3
1059,Construct solid models and representation scheme and describe various co-ordinate systems for solid model.,4
1060,Demonstrate Finite Element Analysis and use 1D and 2D element stiffness matrices and load vectors from various methods to solve for displacements and stresses.,5
1061,"Describe the internet trading relationships including business to consumer, business-to-business, consumer-to consumer and consumer-to business.",1
1062,Describe Interpolation and show how to solve 2D plane stress solid mechanics problems.,6
1063,Identify and test about encryption and decryption techniques used in credit card payment systems,2
1064,Illustrate about electronic payment systems,3
1065,Make a survey about different credit card fraud detection mechanisms.,4
1066,Explain the legal issues and privacy in E-commerce,5
1067,Select suitable compensators in control system,1
1068,Design compensators using classical techniques,2
1069,Perform the state space modelling of continuous and discrete time systems,3
1070,Design different types of bearings for static and dynamic load,1
1071,"Analyze data mining concepts, applications and stages inorder to explore OLAP and data mining as techniques for extracting knowledge from a data warehouse.",1
1072,Applying design considerations for proper designing of clutches and brakes,2
1073,Design feedback controllers in state  space,4
1074,Analyze the different forces acting on gears and designing gears based on application,3
1075,"Apply various data preprocessing steps to clean, transform and discretize the data and gain proper understanding of standard data sets",2
1076,"Illustrate design recommendations for forgings, casting, welded products, rolled sections, turned parts",4
1077,Experiment with the nonlinearities in control system,5
1078,Design and implement various classification models applying decision tree induction and neural network concepts etc.,3
1079,"Design a system ,component or a process to meet desired needs within realistic constraints such as economical, safety, manufacturability and sustainability",5
1080,Discover or extract interesting patterns from large amount of data to analyze and solve classification problems and make predictions of outcomes.,4
1081,Identify frequently occurring items and sequences in transactions using association rule mining and also apply clustering algorithms to determine valid clusters or outliers,5
1082,"Design and implement various applications using standard data sets and practical data mining tools like R, Weka and explore recent trends in data mining",6
1083,Analyze the stability of linear and nonlinear  systems using different methods,6
1084,Describe the performance analysis of algorithms and asymptotic notations,1
1085,Solve recurrence equations and to estimate the asymptotic time complexities of various recurrence relations using iteration and recursion tree methods.,2
1086,Describe the divide-and-conquer paradigm and explain when an algorithmic design situation calls for it.,3
1087,Differentiate between greedy and dynamic programming in algorithm design and recite algorithms that employ these paradigms.,4
1088,Explain backtracking and branch and bound technique used in algorithms,5
1089,"Describe the use of Lower Bound Theory to improve the complexity of an algorithm and Interpret the approximation algorithms, randomized algorithms and string matching algorithms",6
1090,"[1]	Solve the differential equations using Laplace transforms",1
1091,"[2]	Determine transfer function for simple chemical process systems",2
1092,"[4]	Analyze the stability of open loop and closed loop systems",4
1093,"[5]	Determine the tuning parameters of controllers",5
1094,"[6]	Describe the types of controllers and advanced control systems",6
1095,Determine the discharge coefficients of flow meters,2
1096,"Illustrate the mathematical and physical foundations of elasticity, stress, deformations, transformations and stress-strain relationship for homogenous, isotropic materials of 3D solids under load.",1
1097,Apply stress functions to solve for stresses over simple structures.,2
1098,Apply and use energy methods to evaluate energy as well as deflections in simple structures.,3
1099,Solve for stresses and deformations of body in polar coordinates and torsion effects in non-circular shafts and thin walled open and closed sections.,4
1100,Demonstrate the applications of the knowledge in fundamental mechanics of material to practical engineering structures.,5
1101,"Categorize the terminologies, features, classifications, and characteristics embodied     in database systems.",1
1102,Model an ER diagram using applications data requirements and design database schemas based on the conceptual model.,2
1103,Formulate solutions to a broad range of queries using relational algebra and SQL.,3
1104,Apply different  normalization by  understanding the techniques in  relational database design.,4
1105,"Examine  fundamental      principles of data organization, query evaluation technique and query optimization.",5
1106,Apply solutions for  transaction processing issues and summarize the latest trends in databases,6
1107,Model an ER diagram using applications data requirements and design database schemas based on the conceptual model.,2
1108,"Identify application security issues and attacks, the key problem factors and then skills, tools and techniques necessary to code defensively against web attacks.",1
1109,Design ways to prevent attacks on user-supplied inputs and application outputs.,2
1110,Identify types of SQL injection attacks and apply coding standards and tools to eliminate and prevent SQL injection.,3
1111,"Administer ModSecurity toolkit for real-time web application monitoring, logging, and access control.",4
1112,Implement techniques to address network and remote attacks.,5
1113,Illustrate techniques to prevent Web Server Hacking and Database hacking.,6
1114,Determine the discharge coefficients of flow meters.,1
1115,Identify the basic mechanical properties of mild steel and the relevant testing equipment,1
1116,Measure rigidity modulus and stiffness under different loading conditions,2
1117,Evaluate the ultimate shear strength of a material.,3
1118,"Measure the Youngs modulus, deflection and maximum bending stress and justify Clark Maxwell theorem",4
1119,Analyse the behaviour of a material under impact loading.,5
1120,Analyse the operation of  various dc-dc converter topologies,1
1121,Evaluate the problems and apply solutions associated with isolated and non isolated dc-dc converters,2
1122,analyze  and apply the information content  of different information sources  according to various applications.,1
1123,"Identify   various information channels , analyze  their channel capacity and efficiency",2
1124,Demonstrate the concept of magnetism and resonance in switched mode converters,3
1125,Apply  the concept of space vector modulation and other harmonic elimination techniques in switched mode inverters,4
1126,Summarise voltage and current control techniques employed in switched mode converters,5
1127,Design half and full bridge converters considering the effect of magnetics and switch stresses,6
1128,"Analyze continuous channel ,channel capacity theorem its applications",3
1129,"Identify the various source coding techniques ,analyze  their coding efficiency",4
1130,Analyze various error detection and correction codes  and identify  their application,5
1131,Analyze the encoding and decoding of convolutional codes and compare various interleaving techniques.,6
1132,Summarize the design parameters of various Electrical Machines from output equations,1
1133,. Acquire a thorough design base of the mechanical and electrical aspects of ac and dc machines,2
1134,Provide the information required for the fabrication of the AC and DC machines along with an estimate of various performance indices.,3
1135,Gain knowledge and experience in HT and LT installation and wiring design in compliance with the National Electrical Code/Indian standards,4
1136,Distinguish between number systems and apply them in Boolean arithmetic.,1
1137,Identify appropriate C language constructs to solve  problems in Automotive industry,1
1138,Implement simple programs   in C language,2
1139,Describe what is meant by array and its benefits. Apply sorting & searching techniques to solve application programs .,3
1140,"Analyze problems, identify subtasks and implement them as  functions/procedures.",4
1141,"Apply pointers, memory allocation techniques for dealing with variety of problems",5
1142,Explain the concept of file system for handling data storage and apply it for  solving problems,6
1143,Analyze the characteristic curves of centrifugal pumps,2
1144,Determine the pressure drop through packed bed and fluidized bed,3
1145,Determine the point velocity of a fluid using Pitot tube,4
1146,Analyze Bernoulliâ€™s theorem and flow behavior of fluids,5
1147,Illustrate the concept of drag force and fluid flow around a solid body,1
1148,Devise processes with large fluid-solid contact area utilizing fluidization phenomenon,2
1149,"Compare different types of pumps, mixers and agitators used in industry",3
1150,Interpret processes involving compressible flow with the help of Mach number and associated relations,4
1151,Generalize flow behavior of non-Newtonian fluids,5
1152,Apply the laws of Boolean algebra to simplify circuits.,2
1153,Design combinational and sequential circuits.,3
1154,Implement various logic circuits,4
1155,Develop digital circuits using state machines,5
1156,Analyse the operation of logic circuits in real world scenarios.,6
1157,"Identify and distinguish various modes of heat transfer, examine the mechanisms involved and the associated governing laws.",1
1158,Choose appropriate governing equations and analyze the different modes of heat transfer in different geometries and systems under steady and transient processes.,2
1159,Plan and develop CNC programs for machining jobs using turning and milling operations.,1
1160,Carry out strain measurements using gadgets operating on principles of linear variations,2
1161,Compare the different heat transfer processes based on the concept of analogy.,3
1162,Perform basic calculations to determine relevant design parameters for common heat exchangers.,4
1163,Interpret the concepts involved in heat transfer in extended surfaces and carry outbasic design of single and multiple effect evaporators.,5
1164,Analyze the heat transfer associated with boiling and condensation.,6
1165,"Manage people, organisation and environment for achieving competitive advantage",1
1166,"Critically analyse, evaluate and manipulate management theories and practices",2
1167,Prepare an organizational plan and execute planning process based on the goals and objectives,3
1168,Design organizational structure and establish the relationship among departments.,1
1169,Design organizational structure and establish the relationship among departments.,4
1170,Demonstrate staffing and related human resource development functions to manage and appraise employees.,5
1171,Demonstrate the fundamental concepts of Natural Language Processing.,1
1172,Differentiate POS techniques and illustrate grammars and different parsing methods.,2
1173,Analyze various ambiguity resolution strategies and other strategies for semantic interpretation.,3
1174,Design algorithms for NLP tasks inferring world knowledge and discourse structure.,4
1175,Demonstrate the working of conventional clutches,1
1176,Design the gear ratios and gear shifting mechanisms,2
1177,Evaluate concepts of  NLP with its applications and develop useful systems for language processing .,5
1178,Elaborate the working of Wilson Gearbox and Ford T model gear box,3
1179,Illustrate hydrodynamic transmission and its working,4
1180,Demonstrate the working of automatic gearbox,5
1181,Interpret the working of control systems in special type of vehicles,6
1182,"Analyze different theories, design factors and factors which are involved in machine design",1
1183,Design shafts and welded joints used in different applications,2
1184,Carry out dimension measurements using gadgets operating on principles of linear variations,3
1185,Carry out measurement of selected physical variables using gadgets operating on principles of nonlinear variations,4
1186,Apply optical techniques for the measurement of selected mechanical parameters,5
1187,Demonstrate the differences of conventional and computer aided design process.,1
1188,Design the clutch and brake system for a mechanical system,3
1189,Select the suitable bearing for the specified application,4
1190,Design gears for different automobile and mechanical applications,5
1191,Describe the basics of computer graphics and computer graphics transformation.,2
1192,"Explain the concepts of wireframe,surface and solid modelling.",3
1193,"Illustrate the use of parametric representation of various curves,surfaces and solids.",4
1194,Analyse the general consideration for optimum design of engineering structures,1
1195,Design mechanical components subjected to static and dynamic loading by applying concepts of fracture mechanics,2
1196,"Enumerate the design consideration for Air Springs, Rubber springs and Beliiville springs",3
1197,"Illustrate design recommendations for forgings, casting, welded products, rolled sections, turned parts a",4
1198,To formulate design principles  of shaft  based on strength and rigidity,5
